日付,ニュース内容
2023.10.26,電子契約・電子取引プラットフォーム「DocYou」とIBM i(AS/400)向け PDF作成ツール「UT/400-iPDC」連携を追加
2023.09.08,「ジュニア熱気球世界選手権」日本代表チームがNHSに表敬訪問
2023.09.05,電子帳票基盤「Paples」の製造・流通業向けソリューションに「物品受領書電子化・納品データ統合管理」を追加
2023.08.14,NHSが「ジュニア熱気球世界選手権」日本代表チームのプラチナスポンサーに就任
2023.08.03,電子帳票基盤「Paples」のドキュメント管理に「AI-OCR連携」機能を追加
2023.07.03,7/3〜7/23 JR東日本/東京メトロにて「Paples」の電帳法・インボイス制度対応CM動画を電車広告として配信
2023.05.30,2023年度夏期インターンシップ開催！
2023.05.16,「GRANDIT＋NHS販売管理テンプレート プロモーション活動」がGRANDIT AWARD 2022 の「Promotion of the Year」を受賞
2023.03.30,「事例紹介」に株式会社ＳＴＮｅｔ 様のSAP S/4HANAコンバージョンの第一歩 リモートインフラサービスでPoC環境構築 導入事例を追加
2023.03.27,「ERP連携できるBtoB向けECサイト構築」特設ページを追加
2023.03.09,電子帳票基盤「Paples」に「令和5年度税制改正大綱における電帳法・インボイス制度の変更点とシステム対応のポイント」トピックスを追加
2023.03.03,3/6 - 3/26 JR東日本/東京メトロにて「DocYou」/「Paples」のCM動画を電車広告として配信
2023.03.03,電子帳票基盤「Paples」の新動画CM「優秀な山田さん編」(電帳法・インボイス制度)を公開
2023.02.27,2024年新卒採用サイトオープン
2023.02.03,電子契約・電子取引プラットフォーム「DocYou」宮崎市上下水道局と電子契約クラウド協定を締結
2023.01.30,2/6- 2週間 JR西日本/大阪メトロ御堂筋線にて「DocYou」のCM動画を電車広告として配信
2023.01.25,電子帳票基盤「Paples」SAPシステムワークフロー連携電子承認・電帳法対応ソリューションを追加
2023.01.25,電子帳票基盤「Paples」ドキュメント管理効率化 新機能を追加
2022.12.12,12/12- 1週間と2023/01/16- 2週間 JR東日本/東京メトロにて「DocYou」/「Paples」のCM動画を電車広告として配信
